Date,Region,Category,Sales,Inventory,Promo_Flag,Holiday_Flag,Year,Month,Day,DayOfWeek,Quarter,IsLocalHoliday,Sales_Lag_1,Sales_Lag_7,Sales_Lag_30,Sales_Rolling_Mean_7,Sales_Rolling_Mean_30,Sales_Rolling_Std_7
2023-01-01,East,Clothing,252,358,0,0,2023,1,1,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,East,Clothing,112,127,0,0,2023,1,2,0,1,0,252.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,East,Clothing,168,234,0,0,2023,1,3,1,1,0,112.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,East,Clothing,150,89,0,0,2023,1,4,2,1,0,168.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,East,Clothing,133,95,1,0,2023,1,5,3,1,0,150.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,East,Clothing,89,52,0,0,2023,1,6,4,1,0,133.0,0.0,0.0,0.0,0.0,0.0
2023-01-07,East,Clothing,182,133,0,0,2023,1,7,5,1,0,89.0,0.0,0.0,155.14285714285714,0.0,53.261707856672444
2023-01-08,East,Clothing,147,218,0,0,2023,1,8,6,1,0,182.0,252.0,0.0,140.14285714285714,0.0,31.965755486293823
2023-01-09,East,Clothing,136,216,0,0,2023,1,9,0,1,0,147.0,112.0,0.0,143.57142857142858,0.0,29.64713107456404
2023-01-10,East,Clothing,309,321,1,0,2023,1,10,1,1,0,136.0,168.0,0.0,163.71428571428572,0.0,69.76559392163229
2023-01-11,East,Clothing,104,103,0,0,2023,1,11,2,1,0,309.0,150.0,0.0,157.14285714285714,0.0,73.34718483902108
2023-01-12,East,Clothing,114,132,0,0,2023,1,12,3,1,0,104.0,133.0,0.0,154.42857142857142,0.0,74.7280784865081
2023-01-13,East,Clothing,223,154,0,0,2023,1,13,4,1,0,114.0,89.0,0.0,173.57142857142858,0.0,72.29766511411266
2023-01-14,East,Clothing,125,176,0,0,2023,1,14,5,1,0,223.0,182.0,0.0,165.42857142857142,0.0,74.37037300533312
2023-01-15,East,Clothing,260,151,0,0,2023,1,15,6,1,0,125.0,147.0,0.0,181.57142857142858,0.0,81.6146578805081
2023-01-16,East,Clothing,193,179,0,0,2023,1,16,0,1,0,260.0,136.0,0.0,189.71428571428572,0.0,79.11534677442866
2023-01-17,East,Clothing,260,347,1,0,2023,1,17,1,1,0,193.0,309.0,0.0,182.71428571428572,0.0,68.21953358023467
2023-01-18,East,Clothing,198,160,0,0,2023,1,18,2,1,0,260.0,104.0,0.0,196.14285714285714,0.0,58.735079158961966
2023-01-19,East,Clothing,175,228,0,0,2023,1,19,3,1,0,198.0,114.0,0.0,204.85714285714286,0.0,48.07434718374095
2023-01-20,East,Clothing,85,110,0,0,2023,1,20,4,1,0,175.0,223.0,0.0,185.14285714285714,0.0,64.78535989822747
2023-01-21,East,Clothing,142,73,0,0,2023,1,21,5,1,0,85.0,125.0,0.0,187.57142857142858,0.0,62.43091419816829
2023-01-22,East,Clothing,150,169,0,0,2023,1,22,6,1,0,142.0,260.0,0.0,171.85714285714286,0.0,54.50207510247837
2023-01-23,East,Clothing,123,139,0,0,2023,1,23,0,1,0,150.0,193.0,0.0,161.85714285714286,0.0,56.36614992300662
2023-01-24,East,Clothing,118,177,0,0,2023,1,24,1,1,0,123.0,260.0,0.0,141.57142857142858,0.0,37.580390023065426
2023-01-25,East,Clothing,107,64,0,0,2023,1,25,2,1,0,118.0,198.0,0.0,128.57142857142858,0.0,29.7257303967295
2023-01-26,East,Clothing,311,272,1,0,2023,1,26,3,1,0,107.0,175.0,0.0,148.0,0.0,75.03776826816392
2023-01-27,East,Clothing,58,83,0,0,2023,1,27,4,1,0,311.0,85.0,0.0,144.14285714285714,0.0,79.38393744208915
2023-01-28,East,Clothing,163,156,0,0,2023,1,28,5,1,0,58.0,142.0,0.0,147.14285714285714,0.0,79.68569208966892
2023-01-29,East,Clothing,352,378,1,0,2023,1,29,6,1,0,163.0,150.0,0.0,176.0,0.0,111.22649564439821
2023-01-30,East,Clothing,72,118,0,0,2023,1,30,0,1,0,352.0,123.0,0.0,168.71428571428572,167.03333333333333,116.80712633185
2023-01-31,East,Clothing,72,72,0,0,2023,1,31,1,1,0,72.0,118.0,252.0,162.14285714285714,161.03333333333333,121.34170562428042
2023-02-01,East,Clothing,141,104,0,0,2023,2,1,2,1,0,72.0,107.0,112.0,167.0,162.0,119.43198901466896
2023-02-02,East,Clothing,93,105,0,0,2023,2,2,3,1,0,141.0,311.0,168.0,135.85714285714286,159.5,102.9035609546281
2023-02-03,East,Clothing,152,141,0,0,2023,2,3,4,1,0,93.0,58.0,150.0,149.28571428571428,159.56666666666666,97.01497184406522
2023-02-04,East,Clothing,151,207,0,0,2023,2,4,5,1,0,152.0,163.0,133.0,147.57142857142858,160.16666666666666,96.83810741448353
2023-02-05,East,Clothing,214,187,0,0,2023,2,5,6,1,0,151.0,352.0,89.0,127.85714285714286,164.33333333333334,51.90834413151891
2023-02-06,East,Clothing,193,195,0,0,2023,2,6,0,1,0,214.0,72.0,182.0,145.14285714285714,164.7,50.33033734382137
2023-02-07,East,Clothing,158,163,0,0,2023,2,7,1,1,0,193.0,72.0,147.0,157.42857142857142,165.06666666666666,38.638741969070146
2023-02-08,East,Clothing,108,75,0,0,2023,2,8,2,1,0,158.0,141.0,136.0,152.71428571428572,164.13333333333333,42.76959311518053
2023-02-09,East,Clothing,63,110,0,0,2023,2,9,3,1,0,108.0,93.0,309.0,148.42857142857142,155.93333333333334,50.54653678495079
2023-02-10,East,Clothing,96,53,0,0,2023,2,10,4,1,0,63.0,152.0,104.0,140.42857142857142,155.66666666666666,54.18750514911825
2023-02-11,East,Clothing,251,213,0,0,2023,2,11,5,1,0,96.0,151.0,114.0,154.71428571428572,160.23333333333332,68.68215266892919
2023-02-12,East,Clothing,189,126,0,0,2023,2,12,6,1,0,251.0,214.0,223.0,151.14285714285714,159.1,65.66944639995218
2023-02-13,East,Clothing,185,115,1,0,2023,2,13,0,1,0,189.0,193.0,125.0,150.0,161.1,64.88451279003336
2023-02-14,East,Clothing,172,126,0,0,2023,2,14,1,1,0,185.0,158.0,260.0,152.0,158.16666666666666,65.38603316713237
2023-02-15,East,Clothing,209,186,0,0,2023,2,15,2,1,0,172.0,108.0,193.0,166.42857142857142,158.7,65.20188428477903
2023-02-16,East,Clothing,186,107,0,0,2023,2,16,3,1,0,209.0,63.0,260.0,184.0,156.23333333333332,46.60472079092415
2023-02-17,East,Clothing,81,136,0,0,2023,2,17,4,1,0,186.0,96.0,198.0,181.85714285714286,152.33333333333334,51.42122963468352
2023-02-18,East,Clothing,204,260,0,0,2023,2,18,5,1,0,81.0,251.0,175.0,175.14285714285714,153.3,43.318312414915106
2023-02-19,East,Clothing,115,108,1,0,2023,2,19,6,1,0,204.0,189.0,85.0,164.57142857142858,154.3,48.134731545448325
2023-02-20,East,Clothing,100,72,0,0,2023,2,20,0,1,0,115.0,185.0,142.0,152.42857142857142,152.9,52.633503724203194
2023-02-21,East,Clothing,78,107,0,0,2023,2,21,1,1,0,100.0,172.0,150.0,139.0,150.5,58.47506591132096
2023-02-22,East,Clothing,147,207,0,0,2023,2,22,2,1,0,78.0,209.0,123.0,130.14285714285714,151.3,50.217621646285885
2023-02-23,East,Clothing,119,88,0,0,2023,2,23,3,1,0,147.0,186.0,118.0,120.57142857142857,151.33333333333334,43.767785500514464
2023-02-24,East,Clothing,185,110,0,0,2023,2,24,4,1,0,119.0,81.0,107.0,135.42857142857142,153.93333333333334,45.705058592593204
2023-02-25,East,Clothing,47,56,0,0,2023,2,25,5,1,0,185.0,204.0,311.0,113.0,145.13333333333333,44.96294770882646
2023-02-26,East,Clothing,176,181,0,0,2023,2,26,6,1,0,47.0,115.0,58.0,121.71428571428571,149.06666666666666,50.93039133861783
2023-02-27,East,Clothing,161,171,0,0,2023,2,27,0,1,0,176.0,100.0,163.0,130.42857142857142,149.0,51.80687580767999
2023-02-28,East,Clothing,140,166,0,0,2023,2,28,1,1,0,161.0,78.0,352.0,139.28571428571428,141.93333333333334,46.36347084258711
2023-03-01,East,Clothing,120,65,0,0,2023,3,1,2,1,0,140.0,147.0,72.0,135.42857142857142,143.53333333333333,46.73634254288317
2023-03-02,East,Clothing,74,115,0,0,2023,3,2,3,1,0,120.0,119.0,72.0,129.0,143.6,52.15361924162116
2023-03-03,East,Clothing,364,200,1,0,2023,3,3,4,1,0,74.0,185.0,141.0,154.57142857142858,151.03333333333333,103.14368156905708
2023-03-04,East,Clothing,246,275,0,0,2023,3,4,5,1,0,364.0,47.0,93.0,183.0,156.13333333333333,95.70963030611564
2023-03-05,East,Clothing,74,104,0,0,2023,3,5,6,1,0,246.0,176.0,152.0,168.42857142857142,153.53333333333333,104.3293776825063
