Date,Region,Category,Sales,Inventory,Promo_Flag,Holiday_Flag
2023-01-01,North,Electronics,154,144,0,0
2023-01-01,North,Furniture,116,85,1,0
2023-01-01,North,Clothing,211,267,0,0
2023-01-01,North,Home_Appliances,182,200,0,0
2023-01-01,South,Electronics,113,174,0,0
2023-01-01,South,Furniture,202,258,0,0
2023-01-01,South,Clothing,89,128,0,0
2023-01-01,South,Home_Appliances,82,72,0,0
2023-01-01,East,Electronics,197,207,0,0
2023-01-01,East,Furniture,134,74,1,0
2023-01-01,East,Clothing,252,358,0,0
2023-01-01,East,Home_Appliances,133,110,0,0
2023-01-01,West,Electronics,276,178,1,0
2023-01-01,West,Furniture,141,95,0,0
2023-01-01,West,Clothing,79,46,0,0
2023-01-01,West,Home_Appliances,115,87,0,0
2023-01-02,North,Electronics,90,71,0,0
2023-01-02,North,Furniture,74,73,0,0
2023-01-02,North,Clothing,96,77,0,0
2023-01-02,North,Home_Appliances,125,138,0,0
2023-01-02,South,Electronics,56,50,0,0
2023-01-02,South,Furniture,103,80,0,0
2023-01-02,South,Clothing,222,209,0,0
2023-01-02,South,Home_Appliances,63,69,0,0
2023-01-02,East,Electronics,88,107,0,0
2023-01-02,East,Furniture,62,61,0,0
2023-01-02,East,Clothing,112,127,0,0
2023-01-02,East,Home_Appliances,83,90,0,0
2023-01-02,West,Electronics,157,199,0,0
2023-01-02,West,Furniture,73,52,0,0
2023-01-02,West,Clothing,206,308,0,0
2023-01-02,West,Home_Appliances,77,115,0,0
2023-01-03,North,Electronics,61,63,0,0
2023-01-03,North,Furniture,111,93,0,0
2023-01-03,North,Clothing,103,168,0,0
2023-01-03,North,Home_Appliances,228,148,0,0
2023-01-03,South,Electronics,144,68,0,0
2023-01-03,South,Furniture,139,237,0,0
2023-01-03,South,Clothing,317,354,1,0
2023-01-03,South,Home_Appliances,112,128,0,0
2023-01-03,East,Electronics,168,140,0,0
2023-01-03,East,Furniture,217,235,1,0
2023-01-03,East,Clothing,168,234,0,0
2023-01-03,East,Home_Appliances,59,65,0,0
2023-01-03,West,Electronics,68,69,0,0
2023-01-03,West,Furniture,132,189,0,0
2023-01-03,West,Clothing,172,154,0,0
2023-01-03,West,Home_Appliances,83,57,1,0
2023-01-04,North,Electronics,55,78,0,0
2023-01-04,North,Furniture,110,135,0,0
2023-01-04,North,Clothing,148,226,0,0
2023-01-04,North,Home_Appliances,65,35,0,0
2023-01-04,South,Electronics,318,236,1,0
2023-01-04,South,Furniture,80,74,0,0
2023-01-04,South,Clothing,67,72,0,0
2023-01-04,South,Home_Appliances,141,210,0,0
2023-01-04,East,Electronics,168,257,0,0
2023-01-04,East,Furniture,124,141,0,0
2023-01-04,East,Clothing,150,89,0,0
2023-01-04,East,Home_Appliances,161,111,0,0
2023-01-04,West,Electronics,211,284,0,0
2023-01-04,West,Furniture,116,68,0,0
2023-01-04,West,Clothing,74,105,0,0
2023-01-04,West,Home_Appliances,113,153,0,0
2023-01-05,North,Electronics,109,90,0,0
2023-01-05,North,Furniture,119,120,0,0
2023-01-05,North,Clothing,149,201,0,0
2023-01-05,North,Home_Appliances,190,195,0,0
2023-01-05,South,Electronics,153,131,0,0
2023-01-05,South,Furniture,188,278,0,0
2023-01-05,South,Clothing,216,316,0,0
2023-01-05,South,Home_Appliances,185,266,0,0
2023-01-05,East,Electronics,83,76,0,0
2023-01-05,East,Furniture,86,70,0,0
2023-01-05,East,Clothing,133,95,1,0
2023-01-05,East,Home_Appliances,138,142,0,0
2023-01-05,West,Electronics,96,82,0,0
2023-01-05,West,Furniture,122,132,0,0
2023-01-05,West,Clothing,191,198,0,0
2023-01-05,West,Home_Appliances,100,141,1,0
2023-01-06,North,Electronics,72,93,0,0
2023-01-06,North,Furniture,331,406,1,0
2023-01-06,North,Clothing,126,88,0,0
2023-01-06,North,Home_Appliances,131,193,0,0
2023-01-06,South,Electronics,158,223,0,0
2023-01-06,South,Furniture,198,190,0,0
2023-01-06,South,Clothing,116,143,0,0
2023-01-06,South,Home_Appliances,155,120,0,0
2023-01-06,East,Electronics,200,179,0,0
2023-01-06,East,Furniture,160,160,0,0
2023-01-06,East,Clothing,89,52,0,0
2023-01-06,East,Home_Appliances,307,366,1,0
2023-01-06,West,Electronics,52,49,0,0
2023-01-06,West,Furniture,292,330,1,0
2023-01-06,West,Clothing,63,37,0,0
2023-01-06,West,Home_Appliances,185,226,0,0
2023-01-07,North,Electronics,168,218,0,0
2023-01-07,North,Furniture,108,102,0,0
2023-01-07,North,Clothing,137,151,0,0
2023-01-07,North,Home_Appliances,163,213,1,0
2023-01-07,South,Electronics,120,114,0,0
2023-01-07,South,Furniture,340,376,1,0
2023-01-07,South,Clothing,124,132,0,0
2023-01-07,South,Home_Appliances,240,240,0,0
2023-01-07,East,Electronics,226,121,0,0
2023-01-07,East,Furniture,142,100,0,0
2023-01-07,East,Clothing,182,133,0,0
2023-01-07,East,Home_Appliances,69,85,0,0
2023-01-07,West,Electronics,132,136,0,0
2023-01-07,West,Furniture,212,246,0,0
2023-01-07,West,Clothing,204,214,0,0
2023-01-07,West,Home_Appliances,177,180,0,0
2023-01-08,North,Electronics,155,87,0,0
2023-01-08,North,Furniture,55,80,0,0
2023-01-08,North,Clothing,164,163,0,0
2023-01-08,North,Home_Appliances,131,97,0,0
2023-01-08,South,Electronics,107,61,0,0
2023-01-08,South,Furniture,81,52,0,0
2023-01-08,South,Clothing,182,188,0,0
2023-01-08,South,Home_Appliances,138,140,0,0
2023-01-08,East,Electronics,185,214,1,0
2023-01-08,East,Furniture,242,257,0,0
2023-01-08,East,Clothing,147,218,0,0
2023-01-08,East,Home_Appliances,187,170,0,0
2023-01-08,West,Electronics,211,229,1,0
2023-01-08,West,Furniture,200,197,0,0
2023-01-08,West,Clothing,135,133,1,0
2023-01-08,West,Home_Appliances,232,150,0,0
2023-01-09,North,Electronics,67,41,0,0
2023-01-09,North,Furniture,177,220,0,0
2023-01-09,North,Clothing,81,62,0,0
2023-01-09,North,Home_Appliances,191,89,0,0
2023-01-09,South,Electronics,164,157,0,0
2023-01-09,South,Furniture,181,257,0,0
2023-01-09,South,Clothing,173,234,0,0
2023-01-09,South,Home_Appliances,114,114,0,0
2023-01-09,East,Electronics,87,97,0,0
2023-01-09,East,Furniture,209,160,0,0
2023-01-09,East,Clothing,136,216,0,0
2023-01-09,East,Home_Appliances,210,184,0,0
2023-01-09,West,Electronics,52,95,0,0
2023-01-09,West,Furniture,120,80,0,0
2023-01-09,West,Clothing,198,257,0,0
2023-01-09,West,Home_Appliances,88,85,1,0
2023-01-10,North,Electronics,86,133,0,0
2023-01-10,North,Furniture,138,130,0,0
2023-01-10,North,Clothing,198,241,0,0
2023-01-10,North,Home_Appliances,77,107,0,0
2023-01-10,South,Electronics,187,98,0,0
2023-01-10,South,Furniture,93,125,0,0
2023-01-10,South,Clothing,113,142,0,0
2023-01-10,South,Home_Appliances,202,195,0,0
2023-01-10,East,Electronics,58,85,0,0
2023-01-10,East,Furniture,177,219,0,0
2023-01-10,East,Clothing,309,321,1,0
2023-01-10,East,Home_Appliances,48,79,0,0
2023-01-10,West,Electronics,189,177,0,0
2023-01-10,West,Furniture,140,116,0,0
2023-01-10,West,Clothing,187,261,0,0
2023-01-10,West,Home_Appliances,208,123,0,0
2023-01-11,North,Electronics,76,110,0,0
2023-01-11,North,Furniture,156,177,0,0
2023-01-11,North,Clothing,188,181,0,0
2023-01-11,North,Home_Appliances,79,94,0,0
2023-01-11,South,Electronics,86,101,0,0
2023-01-11,South,Furniture,82,126,0,0
2023-01-11,South,Clothing,101,87,0,0
2023-01-11,South,Home_Appliances,36,47,0,0
2023-01-11,East,Electronics,76,51,0,0
2023-01-11,East,Furniture,154,85,0,0
2023-01-11,East,Clothing,104,103,0,0
2023-01-11,East,Home_Appliances,77,64,0,0
2023-01-11,West,Electronics,194,255,1,0
2023-01-11,West,Furniture,61,48,0,0
2023-01-11,West,Clothing,152,118,0,0
2023-01-11,West,Home_Appliances,99,59,0,0
2023-01-12,North,Electronics,209,174,0,0
2023-01-12,North,Furniture,69,110,0,0
2023-01-12,North,Clothing,104,92,0,0
2023-01-12,North,Home_Appliances,120,176,0,0
2023-01-12,South,Electronics,153,81,0,0
2023-01-12,South,Furniture,137,122,0,0
2023-01-12,South,Clothing,260,139,1,0
2023-01-12,South,Home_Appliances,174,204,0,0
2023-01-12,East,Electronics,155,220,1,0
2023-01-12,East,Furniture,85,90,1,0
2023-01-12,East,Clothing,114,132,0,0
2023-01-12,East,Home_Appliances,192,199,0,0
2023-01-12,West,Electronics,159,218,0,0
2023-01-12,West,Furniture,204,242,0,0
2023-01-12,West,Clothing,177,123,0,0
2023-01-12,West,Home_Appliances,145,174,0,0
2023-01-13,North,Electronics,90,99,0,0
2023-01-13,North,Furniture,195,218,0,0
2023-01-13,North,Clothing,118,63,0,0
2023-01-13,North,Home_Appliances,210,177,0,0
2023-01-13,South,Electronics,65,36,0,0
2023-01-13,South,Furniture,62,88,0,0
2023-01-13,South,Clothing,79,66,0,0
2023-01-13,South,Home_Appliances,211,299,0,0
2023-01-13,East,Electronics,211,250,0,0
2023-01-13,East,Furniture,219,120,1,0
2023-01-13,East,Clothing,223,154,0,0
2023-01-13,East,Home_Appliances,124,170,0,0
2023-01-13,West,Electronics,218,173,0,0
2023-01-13,West,Furniture,137,93,0,0
2023-01-13,West,Clothing,90,93,0,0
2023-01-13,West,Home_Appliances,206,112,1,0
2023-01-14,North,Electronics,142,190,0,0
2023-01-14,North,Furniture,113,159,0,0
2023-01-14,North,Clothing,241,245,0,0
2023-01-14,North,Home_Appliances,244,228,0,0
2023-01-14,South,Electronics,154,112,0,0
2023-01-14,South,Furniture,266,309,0,0
2023-01-14,South,Clothing,190,190,0,0
2023-01-14,South,Home_Appliances,132,87,0,0
2023-01-14,East,Electronics,121,171,0,0
2023-01-14,East,Furniture,165,179,0,0
2023-01-14,East,Clothing,125,176,0,0
2023-01-14,East,Home_Appliances,252,309,0,0
2023-01-14,West,Electronics,118,153,0,0
2023-01-14,West,Furniture,141,96,0,0
2023-01-14,West,Clothing,233,290,0,0
2023-01-14,West,Home_Appliances,109,122,0,0
2023-01-15,North,Electronics,94,101,0,0
2023-01-15,North,Furniture,126,150,1,0
2023-01-15,North,Clothing,241,273,0,0
2023-01-15,North,Home_Appliances,159,127,0,0
2023-01-15,South,Electronics,250,326,0,0
2023-01-15,South,Furniture,164,192,0,0
2023-01-15,South,Clothing,239,135,0,0
2023-01-15,South,Home_Appliances,223,257,0,0
2023-01-15,East,Electronics,377,273,1,0
2023-01-15,East,Furniture,77,53,0,0
2023-01-15,East,Clothing,260,151,0,0
2023-01-15,East,Home_Appliances,159,192,0,0
2023-01-15,West,Electronics,87,93,0,0
2023-01-15,West,Furniture,244,187,0,0
2023-01-15,West,Clothing,130,177,0,0
2023-01-15,West,Home_Appliances,225,277,0,0
2023-01-16,North,Electronics,111,71,0,0
2023-01-16,North,Furniture,154,216,0,0
2023-01-16,North,Clothing,75,57,0,0
2023-01-16,North,Home_Appliances,104,102,0,0
2023-01-16,South,Electronics,221,236,0,0
2023-01-16,South,Furniture,130,146,0,0
2023-01-16,South,Clothing,134,137,0,0
2023-01-16,South,Home_Appliances,111,108,1,0
2023-01-16,East,Electronics,78,43,0,0
2023-01-16,East,Furniture,108,74,0,0
2023-01-16,East,Clothing,193,179,0,0
2023-01-16,East,Home_Appliances,137,157,0,0
2023-01-16,West,Electronics,113,105,0,0
2023-01-16,West,Furniture,202,273,0,0
2023-01-16,West,Clothing,83,64,0,0
2023-01-16,West,Home_Appliances,146,156,0,0
2023-01-17,North,Electronics,169,138,0,0
2023-01-17,North,Furniture,231,319,1,0
2023-01-17,North,Clothing,206,233,0,0
2023-01-17,North,Home_Appliances,216,297,0,0
2023-01-17,South,Electronics,140,74,0,0
2023-01-17,South,Furniture,189,136,0,0
2023-01-17,South,Clothing,135,185,0,0
2023-01-17,South,Home_Appliances,89,113,0,0
2023-01-17,East,Electronics,202,134,0,0
2023-01-17,East,Furniture,180,213,0,0
2023-01-17,East,Clothing,260,347,1,0
2023-01-17,East,Home_Appliances,168,234,0,0
2023-01-17,West,Electronics,107,70,0,0
2023-01-17,West,Furniture,214,295,0,0
2023-01-17,West,Clothing,85,70,0,0
2023-01-17,West,Home_Appliances,150,163,0,0
2023-01-18,North,Electronics,88,89,0,0
2023-01-18,North,Furniture,57,47,0,0
2023-01-18,North,Clothing,140,158,0,0
2023-01-18,North,Home_Appliances,221,270,0,0
2023-01-18,South,Electronics,204,245,0,0
2023-01-18,South,Furniture,183,157,0,0
